customer_email,currency,shipping_method,payment,product,refund,status,created_at,updated_at
ddoback@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=WRMG4011FO,qty=17;sku=PHI85PLCTLED26H4000IF4P,qty=20",no,processing,2016-09-24 14:45:39,2016-09-24 14:45:39
rdoback@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL49560102,qty=6",no,complete,2016-09-24 15:30:39,2016-09-24 15:30:39
dhuff@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL49560102,qty=5",no,complete,2016-09-24 16:02:39,2016-09-24 16:02:39
shudson@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL49560102,qty=6",no,complete,2016-09-24 16:04:39,2016-09-24 16:04:39
kkapoor@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=PHI105A19COREPRO2700DIM1,qty=5;sku=KEEECF3215LA641ANWUNVBRP,qty=5;sku=MIL2375XXL,qty=5",no,processing,2016-09-24 18:04:39,2016-09-24 18:04:39
rdoback@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL49560102,qty=6",no,complete,2016-09-24 20:03:39,2016-09-24 20:03:39
avandelay@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=LCL8201BK,qty=25",no,complete,2016-09-25 08:04:39,2016-09-25 08:04:39
ckramer@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=PHI12T8484000IF101,qty=12",no,complete,2016-09-25 09:04:39,2016-09-25 09:04:39
pbeesly@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL260422,qty=5",no,complete,2016-09-25 12:04:39,2016-09-25 12:04:39
nhuff@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=SIEHFD63B250,qty=5",no,processing,2016-09-25 14:07:39,2016-09-25 14:07:39
pbeesly@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=PHIPLC26W354PALTO,qty=100",no,complete,2016-09-26 14:45:39,2016-09-26 14:45:39
jhalpert@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=WRM25DTP4DG,qty=15",no,complete,2016-09-26 15:30:39,2016-09-26 15:30:39
jhalpert@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=SIEEQ442QJ150,qty=5",no,complete,2016-09-26 16:02:39,2016-09-26 16:02:39
avandelay@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL262920,qty=12",no,complete,2016-09-27 16:04:39,2016-09-27 16:04:39
avandelay@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL49569105,qty=5",no,complete,2016-09-27 18:04:39,2016-09-27 18:04:39
ddoback@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=ORT4030054913,qty=25",no,complete,2016-09-27 20:03:39,2016-09-27 20:03:39
nhuff@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=SIEHFD63B250,qty=5;sku=LCL316ALX,qty=5",no,processing,2016-09-27 08:04:39,2016-09-27 08:04:39
jhalpert@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=LCL316ALX,qty=25",no,processing,2016-09-27 09:04:39,2016-09-27 09:04:39
gcostanza@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=PHI12T8484000IF101,qty=7",no,complete,2016-09-28 12:04:39,2016-09-28 12:04:39
avandelay@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=LCL8201BK,qty=25",no,complete,2016-09-28 14:07:39,2016-09-28 14:07:39
pbeesly@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL48553510,qty=7",no,processing,2016-09-28 14:45:39,2016-09-28 14:45:39
pbeesly@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=PHIPLC26W304PALTO,qty=5;sku=PHI19A212700WHIDIM,qty=5;sku=PHI95A19LED827ND120V,qty=5;sku=PHI5GU10LED27002200F35,qty=5",no,processing,2016-09-28 15:30:39,2016-09-28 15:30:39
ckramer@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=PHI105A19COREPRO2700DIM1,qty=27;sku=KEEECF3215LA641ANWUNVBRP,qty=15;sku=MIL2375XXL,qty=5",no,processing,2016-09-28 16:02:39,2016-09-28 16:02:39
ddoback@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL260422,qty=6",no,complete,2016-09-29 16:04:39,2016-09-29 16:04:39
avandelay@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=PHI95A19LED827ND120V,qty=13;sku=MIL260322,qty=6",no,processing,2016-09-29 18:04:39,2016-09-29 18:04:39
nhuff@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL49560102,qty=15",no,complete,2016-09-29 20:03:39,2016-09-29 20:03:39
gcostanza@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=PHI105A19COREPRO2700DIM1,qty=5;sku=KEEECF3215LA641ANWUNVBRP,qty=5;sku=MIL2375XXL,qty=5",no,processing,2016-09-30 08:04:39,2016-09-30 08:04:39
nhuff@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=PHIPLC26W304PALTO,qty=10;sku=PHI19A212700WHIDIM,qty=100;sku=PHI95A19LED827ND120V,qty=120;sku=PHI5GU10LED27002200F35,qty=60",no,processing,2016-09-30 09:04:39,2016-09-30 09:04:39
ckramer@thelumastory.com,USD,flatrate_flatrate,checkmo,"sku=MIL260422,qty=5;sku=LCL8201BK,qty=25;sku=MIL48137237,qty=25",no,processing,2016-09-30 12:04:39,2016-09-30 12:04:39
